step,base-mem,mlu-mem,diff_abs,diff_relative,max_error_range,success
468,69898,69856,42,0.0006008755615325188,0.002,1
469,69898,69856,42,0.0006008755615325188,0.002,1
470,69898,69856,42,0.0006008755615325188,0.002,1
471,69898,69856,42,0.0006008755615325188,0.002,1
472,69898,69856,42,0.0006008755615325188,0.002,1
473,69898,69856,42,0.0006008755615325188,0.002,1
474,69898,69856,42,0.0006008755615325188,0.002,1
475,69898,69856,42,0.0006008755615325188,0.002,1
476,69898,69856,42,0.0006008755615325188,0.002,1
477,69898,69856,42,0.0006008755615325188,0.002,1
478,69898,69856,42,0.0006008755615325188,0.002,1
479,69898,69856,42,0.0006008755615325188,0.002,1
480,69898,69856,42,0.0006008755615325188,0.002,1
481,69898,69856,42,0.0006008755615325188,0.002,1
482,69898,69856,42,0.0006008755615325188,0.002,1
483,69898,69856,42,0.0006008755615325188,0.002,1
484,69898,69856,42,0.0006008755615325188,0.002,1
485,69898,69856,42,0.0006008755615325188,0.002,1
486,69898,69856,42,0.0006008755615325188,0.002,1
487,69898,69856,42,0.0006008755615325188,0.002,1
488,69898,69856,42,0.0006008755615325188,0.002,1
489,69898,69856,42,0.0006008755615325188,0.002,1
490,69898,69856,42,0.0006008755615325188,0.002,1
491,69898,69856,42,0.0006008755615325188,0.002,1
492,69898,69856,42,0.0006008755615325188,0.002,1
493,69898,69856,42,0.0006008755615325188,0.002,1
494,69898,69856,42,0.0006008755615325188,0.002,1
495,69898,69856,42,0.0006008755615325188,0.002,1
496,69898,69856,42,0.0006008755615325188,0.002,1
497,69898,69856,42,0.0006008755615325188,0.002,1
498,69898,69856,42,0.0006008755615325188,0.002,1
499,69898,69856,42,0.0006008755615325188,0.002,1
500,69898,69856,42,0.0006008755615325188,0.002,1
501,69898,69856,42,0.0006008755615325188,0.002,1
502,69898,69856,42,0.0006008755615325188,0.002,1
503,69898,69856,42,0.0006008755615325188,0.002,1
504,69898,69856,42,0.0006008755615325188,0.002,1
505,69898,69856,42,0.0006008755615325188,0.002,1
506,69898,69856,42,0.0006008755615325188,0.002,1
507,69898,69856,42,0.0006008755615325188,0.002,1
508,69898,69856,42,0.0006008755615325188,0.002,1
509,69898,69856,42,0.0006008755615325188,0.002,1
510,69898,69856,42,0.0006008755615325188,0.002,1
511,69898,69856,42,0.0006008755615325188,0.002,1
512,69898,69856,42,0.0006008755615325188,0.002,1
513,69898,69856,42,0.0006008755615325188,0.002,1
514,69898,69856,42,0.0006008755615325188,0.002,1
515,69898,69856,42,0.0006008755615325188,0.002,1
516,69898,69856,42,0.0006008755615325188,0.002,1
517,69898,69856,42,0.0006008755615325188,0.002,1
518,69898,69856,42,0.0006008755615325188,0.002,1
519,69898,69856,42,0.0006008755615325188,0.002,1
520,69898,69856,42,0.0006008755615325188,0.002,1
521,69898,69856,42,0.0006008755615325188,0.002,1
522,69898,69856,42,0.0006008755615325188,0.002,1
523,69898,69856,42,0.0006008755615325188,0.002,1
524,69898,69856,42,0.0006008755615325188,0.002,1
525,69898,69856,42,0.0006008755615325188,0.002,1
526,69898,69856,42,0.0006008755615325188,0.002,1
527,69898,69856,42,0.0006008755615325188,0.002,1
528,69898,69856,42,0.0006008755615325188,0.002,1
529,69898,69856,42,0.0006008755615325188,0.002,1
530,69898,69856,42,0.0006008755615325188,0.002,1
